wellenlaenge arbitrary
834.918 353.311
835.003 427.340
835.088 543.369
835.173 453.398
835.258 510.427
835.342 384.456
835.427 430.485
835.512 541.513
835.597 487.542
835.682 496.571
835.766 461.599
835.851 312.628
835.936 290.656
836.020 439.685
836.105 447.713
836.189 457.742
836.274 420.770
836.359 407.798
836.443 541.826
836.528 659.855
836.612 482.883
836.696 388.911
836.781 522.939
836.865 540.967
836.950 432.995
837.034 371.023
837.118 435.051
837.203 536.079
837.287 558.106
837.371 530.134
837.456 500.162
837.540 478.190
837.624 361.217
837.708 364.245
837.792 340.272
837.876 401.300
837.961 515.327
838.045 593.355
838.129 416.382
838.213 478.410
838.297 524.437
838.381 501.464
838.465 481.491
838.549 486.519
