wellenlaenge,arbitraer
-0.0000008686,1.84211
-0.0000008684,1.73844
-0.0000008682,1.55961
-0.000000868,1.32727
-0.0000008678,1.09789
-0.0000008676,0.893125
-0.0000008674,0.734063
-0.0000008672,0.605469
-0.000000867,0.496406
-0.0000008668,0.394375
-0.0000008666,0.328438
-0.0000008664,0.240313
-0.0000008662,0.195625
-0.000000866,0.127813
-0.0000008658,0.109609
-0.0000008656,0.0928125
-0.0000008654,0.079375
-0.0000008652,0.108203
-0.000000865,0.0917188
-0.0000008648,0.050625
-0.0000008646,0.0599219
-0.0000008644,0.0480469
-0.0000008642,0.0795313
-0.000000864,0.0701563
-0.0000008638,0.0702344
-0.0000008636,0.041875
-0.0000008634,0.0295313
-0.0000008632,0.0405469
-0.000000863,0.00046875
-0.0000008628,-0.0103906
-0.0000008626,0.0107031
-0.0000008624,-0.0271094
-0.0000008622,-0.0603125
-0.000000862,-0.0801562
-0.0000008618,-0.0903125
-0.0000008616,-0.100078
-0.0000008614,-0.0996094
-0.0000008612,-0.0786719
-0.000000861,-0.0497656
-0.0000008608,-0.0180469
-0.0000008606,0.0342188
-0.0000008604,0.0707031
-0.0000008602,0.0922656
-0.00000086,0.131719
-0.0000008598,0.150625
-0.0000008596,0.170156
-0.0000008594,0.139375
-0.0000008592,0.12
-0.000000859,0.149922
-0.0000008588,0.13
-0.0000008586,0.161016
-0.0000008584,0.149297
-0.0000008582,0.12
-0.000000858,0.121641
-0.0000008578,0.164844
-0.0000008576,0.338828
-0.0000008574,0.606406
-0.0000008572,0.917656
-0.000000857,1.22016
-0.0000008568,1.47203
-0.0000008566,1.67555
-0.0000008564,1.7807
-0.0000008562,1.83023
-0.000000856,1.72117
-0.0000008558,1.59875
-0.0000008556,1.41
-0.0000008554,1.14992
-0.0000008552,0.935625
-0.000000855,0.759766
-0.0000008548,0.616172
-0.0000008546,0.506797
-0.0000008544,0.426406
-0.0000008542,0.345391
-0.000000854,0.277969
-0.0000008538,0.18
-0.0000008536,0.162109
-0.0000008534,0.102813
-0.0000008532,0.0801563
-0.000000853,0.08
-0.0000008528,0.0710938
-0.0000008526,0.0700781
-0.0000008524,0.0991406
-0.0000008522,0.0809375
-0.000000852,0.0696094
-0.0000008518,0.0792969
-0.0000008516,0.0599219
-0.0000008514,0.07
-0.0000008512,0.0401563
-0.000000851,0.0198438
-0.0000008508,0.0299219
-0.0000008506,0.00804688
-0.0000008504,-0.04
-0.0000008502,-0.0196094
-0.00000085,-0.039375
-0.0000008498,-0.0617969
-0.0000008496,-0.0998437
-0.0000008494,-0.100547
-0.0000008492,-0.129922
-0.000000849,-0.0985937
-0.0000008488,-0.0995312
-0.0000008486,-0.0576562
-0.0000008484,-0.0385937
-0.0000008482,0.014375
-0.000000848,0.05375
-0.0000008478,0.0920313
-0.0000008476,0.123359
-0.0000008474,0.161094
-0.0000008472,0.150156
-0.000000847,0.171328
-0.0000008468,0.169844
-0.0000008466,0.158438
-0.0000008464,0.152266
-0.0000008462,0.179531
-0.000000846,0.138906
-0.0000008458,0.130313
-0.0000008456,0.131641
-0.0000008454,0.197734
-0.0000008452,0.320078
-0.000000845,0.563594
-0.0000008448,0.882578
-0.0000008446,1.16461
-0.0000008444,1.42008
-0.0000008442,1.65656
-0.000000844,1.81703
