x_spektrum,y_spektrum,x_fourier_transformed,y_fourier_transformed
748.434,24.000,0.807,0.262
748.540,3.000,0.808,0.044
748.645,4.000,0.809,0.077
748.751,3.000,0.810,0.119
748.856,5.000,0.811,0.089
748.962,-13.000,0.812,0.170
749.067,1.000,0.813,0.134
749.173,11.000,0.814,0.039
749.278,-6.000,0.816,0.114
749.384,7.000,0.817,0.158
749.489,9.000,0.818,0.636
749.594,25.000,0.819,0.042
749.700,5.000,0.820,0.692
749.805,9.000,0.821,0.105
749.910,12.000,0.822,0.255
750.015,4.000,0.823,0.001
750.121,-15.000,0.824,0.143
750.226,7.000,0.825,0.451
750.331,-13.000,0.826,0.124
750.436,-7.000,0.827,0.327
750.541,1.000,0.828,0.145
750.646,4.000,0.829,0.129
750.751,1.000,0.831,0.367
750.856,-20.000,0.832,0.352
750.962,12.000,0.833,0.046
751.067,18.000,0.834,0.107
751.172,2.000,0.835,0.503
751.277,22.000,0.836,0.372
751.381,14.000,0.837,0.168
751.486,14.000,0.838,0.099
751.591,3.000,0.839,0.131
751.696,1.000,0.840,0.246
751.801,9.000,0.841,0.114
751.906,-5.000,0.842,0.167
752.011,-6.000,0.843,0.210
752.115,11.000,0.844,0.033
752.220,-6.000,0.846,0.149
752.325,6.000,0.847,0.430
752.430,20.000,0.848,0.380
752.534,10.000,0.849,0.019
752.639,5.000,0.850,0.048
752.744,15.000,0.851,0.110
752.848,10.000,0.852,0.029
752.953,-1.000,0.853,0.273
753.057,-23.000,0.854,0.452
753.162,1.000,0.855,0.310
753.267,-4.000,0.856,0.300
753.371,-7.000,0.857,0.312
753.476,12.000,0.858,0.415
753.580,-3.000,0.859,0.224
753.685,5.000,0.861,0.080
753.789,2.000,0.862,0.035
753.893,-2.000,0.863,0.207
753.998,2.000,0.864,0.421
754.102,-1.000,0.865,0.219
754.206,-9.000,0.866,0.386
754.311,-3.000,0.867,0.037
754.415,12.000,0.868,0.238
754.519,8.000,0.869,0.174
754.624,-2.000,0.870,0.211
754.728,-12.000,0.871,0.289
754.832,12.000,0.872,0.316
754.936,12.000,0.873,0.108
755.040,-18.000,0.874,0.046
755.144,-15.000,0.876,0.112
755.248,8.000,0.877,0.052
755.353,2.000,0.878,0.162
755.457,13.000,0.879,0.221
755.561,0.000,0.880,0.052
755.665,-1.000,0.881,0.167
755.769,3.000,0.882,0.146
755.873,-3.000,0.883,0.073
755.977,24.000,0.884,0.024
756.080,4.000,0.885,0.080
756.184,-5.000,0.886,0.065
756.288,1.000,0.887,0.170
756.392,-11.000,0.888,0.308
756.496,4.000,0.889,0.121
756.600,-13.000,0.891,0.039
756.704,-7.000,0.892,0.300
756.807,-5.000,0.893,0.075
756.911,-2.000,0.894,0.305
757.015,1.000,0.895,0.150
757.118,-5.000,0.896,0.056
757.222,4.000,0.897,0.492
757.326,7.000,0.898,0.004
757.429,11.000,0.899,0.253
757.533,6.000,0.900,0.336
757.637,18.000,0.901,0.093
757.740,0.000,0.902,0.236
757.844,32.000,0.903,0.207
757.947,32.000,0.904,0.037
